Country,Indicator,Value
Afghanistan,InfantMortality,42
Albania,InfantMortality,10.8
Algeria,InfantMortality,18.6
American Samoa,InfantMortality,9.5
Andorra,InfantMortality,3.3
Angola,InfantMortality,46.1
Anguilla,InfantMortality,2.9
Antigua and Barbuda,InfantMortality,13.3
Argentina,InfantMortality,7.4
Armenia,InfantMortality,11.3
Aruba,InfantMortality,11.2
Australia,InfantMortality,3
Austria,InfantMortality,3.2
Azerbaijan,InfantMortality,10.7
"Bahamas, The",InfantMortality,9.2
Bahrain,InfantMortality,9.6
Bangladesh,InfantMortality,22
Barbados,InfantMortality,15.1
Belarus,InfantMortality,2.1
Belgium,InfantMortality,3
Belize,InfantMortality,11.3
Benin,InfantMortality,51.6
Bermuda,InfantMortality,2.1
Bhutan,InfantMortality,23
Bolivia,InfantMortality,22.1
Bosnia and Herzegovina,InfantMortality,3.8
Botswana,InfantMortality,27.8
Brazil,InfantMortality,12.7
British Virgin Islands,InfantMortality,13
Brunei,InfantMortality,9.8
Bulgaria,InfantMortality,7.5
Burkina Faso,InfantMortality,48
Burma,InfantMortality,30.8
Burundi,InfantMortality,35.3
Cabo Verde,InfantMortality,21.9
Cambodia,InfantMortality,27.2
Cameroon,InfantMortality,44.6
Canada,InfantMortality,3.8
Cayman Islands,InfantMortality,7.1
Central African Republic,InfantMortality,79.3
Chad,InfantMortality,61.1
Chile,InfantMortality,4.5
China,InfantMortality,6
Colombia,InfantMortality,11.6
Comoros,InfantMortality,53.9
"Congo, Democratic Republic of the",InfantMortality,55.8
"Congo, Republic of the",InfantMortality,29.9
Cook Islands,InfantMortality,14.8
Costa Rica,InfantMortality,6.3
Cote d'Ivoire,InfantMortality,52.3
Croatia,InfantMortality,3.4
Cuba,InfantMortality,5.2
Curacao,InfantMortality,7.4
Cyprus,InfantMortality,7.9
Czechia,InfantMortality,2.5
Denmark,InfantMortality,3.1
Djibouti,InfantMortality,44.3
Dominica,InfantMortality,10.5
Dominican Republic,InfantMortality,20.8
Ecuador,InfantMortality,11.2
Egypt,InfantMortality,16.4
El Salvador,InfantMortality,10
Equatorial Guinea,InfantMortality,76.9
Eritrea,InfantMortality,39
Estonia,InfantMortality,2
Eswatini,InfantMortality,38
Ethiopia,InfantMortality,31.3
Faroe Islands,InfantMortality,5.6
Fiji,InfantMortality,9.4
Finland,InfantMortality,1.9
France,InfantMortality,3.1
French Polynesia,InfantMortality,4.2
Gabon,InfantMortality,26
"Gambia, The",InfantMortality,35
Gaza Strip,InfantMortality,14.2
Georgia,InfantMortality,20.9
Germany,InfantMortality,3
Ghana,InfantMortality,30.5
Gibraltar,InfantMortality,5.9
Greece,InfantMortality,3.4
Greenland,InfantMortality,8.3
Grenada,InfantMortality,8.8
Guam,InfantMortality,10.7
Guatemala,InfantMortality,23.4
Guernsey,InfantMortality,3.2
